personName,countryOfCitizenship,selfMade,industries
Vladimir Kim,Kazakhstan,True,Metals & Mining
"Andre Koo, Sr.",Taiwan,False,Finance & Investments
Ronald Lauder,United States,False,Fashion & Retail
Li Chunan,China,True,Manufacturing
Forrest Li,Singapore,True,Media & Entertainment
Richard Li,Hong Kong,False,Telecom
Doug Meijer & family,United States,False,Fashion & Retail
Hank Meijer & family,United States,False,Fashion & Retail
Mark Meijer & family,United States,False,Fashion & Retail
Issad Rebrab & family,Algeria,True,Food & Beverage
Fred Smith,United States,True,Logistics
Barry Sternlicht,United States,True,Finance & Investments
Maximilian Viessmann,Germany,False,Manufacturing
Russ Weiner,United States,True,Food & Beverage
Xue Min,China,True,Healthcare
Juan Domingo Beckmann Legorreta & family,Mexico,False,Food & Beverage
Dietmar Hopp & family,Germany,True,Technology
Jiang Bin,China,True,Technology
Joseph Liemandt,United States,True,Technology
Theo Mueller,Germany,False,Food & Beverage
N.R. Narayana Murthy,India,True,Technology
Odd Reitan & family,Norway,False,Fashion & Retail
Marc Rowan,United States,True,Finance & Investments
Hussain Sajwani,United Arab Emirates,True,Real Estate
David Velez & family,Colombia,True,Finance & Investments
Xu Jinfu,China,True,Manufacturing
Samuel Yin,Taiwan,False,Diversified
You Xiaoping & family,China,True,Manufacturing
Stéphane Bancel,France,True,Healthcare
Margot Birmingham Perot,United States,False,Technology
Neal Blue & family,United States,True,Manufacturing
Jim Davis,United States,True,Service
Rafael Del Pino,Spain,False,Construction & Engineering
Peter Grogg,Switzerland,True,Healthcare
Christian Haub,Germany,False,Fashion & Retail
Mangal Prabhat Lodha,India,True,Real Estate
Jeffrey Lurie & family,United States,False,Sports
Joe Mansueto,United States,True,Finance & Investments
Qian Dongqi & family,China,True,Manufacturing
